,artist,track
0,TWICE,Talk that Talk
1,Girls' Generation (SNSD),FOREVER 1
2,TWICE,MOONLIGHT SUNRISE
3,BLACKPINK,Pink Venom
4,Red Velvet,Feel My Rhythm
5,PSY,That That (prod. & ft. & starring SUGA of BTS)
6,NAYEON,POP!
7,NewJeans,OMG
8,BIGBANG,봄여름가을겨울 (Still Life)
9,LE SSERAFIM,ANTIFRAGILE
10,BLACKPINK,Shut Down
11,IVE,After LIKE
12,Red Velvet Seulgi,28 Reasons
13,Girls' Generation (SNSD) Taeyeon,INVU
14,LE SSERAFIM,FEARLESS
15,NewJeans,Ditto (Side A)
16,aespa,Girls
17,(G)I-DLE,Nxde
18,Red Velvet,WILDSIDE
19,Dreamcatcher,MAISON
20,STAYC,RUN2U
21,IVE,LOVE DIVE
22,Red Velvet,Birthday
23,Dreamcatcher,VISION
24,(G)I-DLE,TOMBOY
25,LE SSERAFIM Huh Yunjin,I ≠ DOLL
26,ITZY,SNEAKERS
27,KARA,WHEN I MOVE
28,Red Velvet X aespa,Beautiful Christmas
29,STAYC,BEAUTIFUL MONSTER
30,LOONA,Flip That
31,BTS,Yet To Come (The Most Beautiful Moment)
32,NewJeans,Attention
33,TWICE,Celebrate
34,TAEYANG (feat. BTS Jimin),VIBE
35,Stray Kids,CASE 143
36,ITZY,Cheshire
37,EXID,FIRE (불이나)
38,Stray Kids,MANIAC
39,XG,SHOOTING STAR
40,ITZY,Voltage
41,NMIXX,DICE
42,j-hope (BTS),MORE
43,Kep1er,Up!
44,LE SSERAFIM,Impurities
45,GOT7,NANANA
46,ITZY,Boys Like You
47,aespa (에스파),Illusion (Lyric Video)
48,Jin (of BTS),The Astronaut
49,TXT,Sugar Rush Ride
50,tripleS Acid Angel from Asia,Generation
51,MAMAMOO,ILLELLA
52,RM (BTS) (with youjeen),Wild Flower
53,GOT the beat,Stamp On It
54,TXT (TOMORROW X TOGETHER),Good Boy Gone Bad
55,Chungha,Sparkling
56,MAMAMOO Solar,HONEY (꿀)
57,ITZY,Blah Blah Blah
58,Billlie,RING ma Bell (what a wonderful world)
59,fromis_9,Stay This Way
60,Jay Park (feat. IU),GANADARA
61,VIVIZ,PULL UP
62,(G)I-DLE Miyeon,Drive
63,Lee Chaeyeon,HUSH RUSH
64,Apink,Dilemma
65,SEVENTEEN,HOT
66,aespa,Life's Too Short (English Ver.)
67,KEY (SHINee),가솔린 (Gasoline)
68,WJSN,Last Sequence
69,Kwon Eunbi,Glitch
70,NewJeans,Hype Boy (Intro)
71,PURPLE KISS,Nerdy
72,Choi Yena,SMARTPHONE
73,j-hope (BTS),방화 (Arson)
74,BLACKPINK x PUBG MOBILE,Ready For Love
75,ATEEZ,Guerrilla
76,SUNMI,Heart Burn
77,Crush (feat. j-hope of BTS),Rush Hour
78,Kwon Eunbi,Underwater
79,NCT 127,질주 (2 Baddies)
80,STAYC,POPPY
81,Red Velvet SEULGI,"Bad Boy, Sad Girl (Feat. BE'O) (Special Video)"
82,NewJeans,Hurt
83,VIVIZ,LOVEADE
84,Dreamcatcher,REASON
85,Brave Girls,Thank You
86,Billlie,GingaMingaYo (the strange world)
87,JUN (SEVENTEEN),LIMBO
88,Cherry Bullet,Love In Space
89,PURPLE KISS,memeM (맴맴)
90,NewJeans,Cookie
91,LE SSERAFIM,FEARLESS (Japanese ver.)
92,LE SSERAFIM YUNJIN,‘Raise y_our glass’
